Timestamp, Schematic, Workspace, Bitblox #, FGU #, Connection #, Uniqueness clauses, Uniqueness time, Collision clauses, Collision time, Short clauses, Short time, Connection clauses, Connection time, Fixed Bitblox, MemError, SAT time, SAT,
23:00 02-02, Filter-3, 6-4-2, 13, 104, 14, 238368, 0.230000019073, 249600, 2.19399952888, 274656, 2.70800042152, 60494, 0.327000141144, 0, 0, 143.367000103, 1, 
23:04 02-02, Filter-4, 8-4-2, 18, 144, 20, 587520, 0.615999937057, 665856, 5.11699867249, 745728, 6.34600138664, 118804, 0.867000102997, 0, 0, 398.846000195, 1, 
23:13 02-02, Filter-5, 10-4-2, 23, 184, 26, 1173920, 1.31200003624, 1392512, 9.93600130081, 1575904, 12.3199987411, 196442, 0.871999979019, 0, 0, 712.427000046, 1, 
23:26 02-02, Filter-5, 10-4-3, 23, 184, 26, 2644080, 3.16099977493, 2088768, 13.3070011139, 3151808, 19.8589992523, 392858, 2.5640001297, 0, 0, 
23:54 02-02, Filter-6, 12-4-2, 28, 224, 32, 2059008, 2.22699999809, 2515968, 16.8230001926, 2866944, 20.4469997883, 293408, 1.17500019073, 0, 0, 
00:10 02-03, Random-9, 9-9-3, 10, 120, 9, 4719060, 5.36099982262, 1298848, 8.47700095177, 1230576, 8.43699908257, 225897, 0.844000101089, 0, 0, 
00:14 02-03, Random-10, 10-10-3, 12, 136, 10, 8632800, 10.1749999523, 2063040, 11.7529983521, 2715968, 15.4050016403, 329994, 1.05099987984, 0, 0, 
00:18 02-03, Random-8, 8-8-3, 13, 184, 8, 3828864, 4.69599986076, 1658624, 13.8880002499, 1993024, 17.010999918, 265992, 1.29499983788, 0, 0, 20.745000124, 1, 
00:19 02-03, Random-7, 7-7-3, 9, 112, 7, 1553202, 1.95899987221, 538032, 4.03500056267, 641824, 4.77499961853, 94375, 0.434000015259, 0, 0, 18.3409998417, 1, 
00:19 02-03, Random-5, 5-5-3, 6, 88, 5, 269100, 0.256999969482, 107792, 1.9610004425, 102624, 2.03099966049, 41413, 0.394999980927, 0, 0, 18.8970000744, 1, 
00:20 02-03, Random-7, 7-7-3, 10, 120, 7, 1725780, 2.2009999752, 651952, 5.32200169563, 819408, 6.7169983387, 114791, 1.02900004387, 0, 0, 27.6320002079, 0, 
